Transect,Point,Point_ID,Species,Distance.m,Count,Flyover,Date,Observer,Month,Year,Start_time,End_time,Cloud,Wind,Temperature.C
Katoomba,E,Katoomba E,House Sparrow,30,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,E,Katoomba E,Australian Magpie,20,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,E,Katoomba E,Red Wattlebird,30,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,E,Katoomba E,Little Wattlebird,10,4,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,F,Katoomba F,Noisy Miner,10,4,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,F,Katoomba F,Common Myna,30,2,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,F,Katoomba F,Sulphur-crested Cockatoo,251,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,F,Katoomba F,Sulphur-crested Cockatoo,90,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,F,Katoomba F,Australian Magpie,90,2,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,F,Katoomba F,Sulphur-crested Cockatoo,60,20,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,F,Katoomba F,Noisy Miner,20,2,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,F,Katoomba F,Pied Currawong,60,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,F,Katoomba F,Pied Currawong,90,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,G,Katoomba G,Yellow-faced Honeyeater,30,2,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,G,Katoomba G,Red Wattlebird,50,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,G,Katoomba G,Red Wattlebird,20,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,G,Katoomba G,Gray Fantail,20,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,G,Katoomba G,Australian Magpie,100,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,G,Katoomba G,Sulphur-crested Cockatoo,100,1,f,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,G,Katoomba G,White-naped Honeyeater,10,5,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,G,Katoomba G,House Sparrow,30,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,G,Katoomba G,Gray Butcherbird,40,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,G,Katoomba G,Yellow-faced Honeyeater,40,2,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,H,Katoomba H,White-naped Honeyeater,20,4,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,H,Katoomba H,Yellow-faced Honeyeater,10,2,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,H,Katoomba H,Eastern Spinebill,90,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,H,Katoomba H,White-throated Treecreeper,90,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,H,Katoomba H,White-eared Honeyeater,50,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,H,Katoomba H,Striated Pardalote,60,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,H,Katoomba H,Spotted Pardalote,50,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,H,Katoomba H,Brown Thornbill,20,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,I,Katoomba I,Brown Thornbill,10,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,I,Katoomba I,Yellow-faced Honeyeater,20,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,I,Katoomba I,Eastern Spinebill,20,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,I,Katoomba I,Brown Thornbill,30,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,I,Katoomba I,Yellow-faced Honeyeater,30,1,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Katoomba,I,Katoomba I,Crimson Rosella,40,2,,17/08/2017,Simon,August,2017,702,827,Clear,Windy,9
Lawson,A,Lawson A,Australian Magpie,40,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,A,Lawson A,Rainbow Lorikeet,80,2,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,A,Lawson A,Red Wattlebird,10,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,A,Lawson A,Rainbow Lorikeet,50,1,f,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,A,Lawson A,Rainbow Lorikeet,20,2,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,A,Lawson A,Australian King-Parrot,30,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,A,Lawson A,Sulphur-crested Cockatoo,50,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,A,Lawson A,Red Wattlebird,90,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,B,Lawson B,Little Wattlebird,80,1,f,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,B,Lawson B,Red Wattlebird,10,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,B,Lawson B,Yellow-faced Honeyeater,20,15,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,B,Lawson B,Sulphur-crested Cockatoo,30,1,f,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,C,Lawson C,Gray Butcherbird,10,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,C,Lawson C,Gray Butcherbird,30,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,C,Lawson C,Yellow-faced Honeyeater,10,16,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,C,Lawson C,Pied Currawong,50,2,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,C,Lawson C,Red Wattlebird,50,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,C,Lawson C,Eastern Spinebill,50,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,C,Lawson C,White-naped Honeyeater,30,3,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,C,Lawson C,Sulphur-crested Cockatoo,251,5,f,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,C,Lawson C,Rainbow Lorikeet,60,2,f,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,C,Lawson C,Red Wattlebird,10,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,C,Lawson C,Spotted Pardalote,90,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,C,Lawson C,Eastern Whipbird,150,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,D,Lawson D,Pied Currawong,251,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,D,Lawson D,Rainbow Lorikeet,251,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,D,Lawson D,Brown-headed Honeyeater,60,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,D,Lawson D,Yellow-faced Honeyeater,10,1,f,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,D,Lawson D,White-naped Honeyeater,50,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,D,Lawson D,White-throated Treecreeper,251,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,D,Lawson D,Brown-headed Honeyeater,20,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,E,Lawson E,Eastern Spinebill,20,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,E,Lawson E,Yellow-faced Honeyeater,10,4,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,E,Lawson E,Spotted Pardalote,50,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,E,Lawson E,Lewin's Honeyeater,150,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,E,Lawson E,White-throated Treecreeper,50,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,E,Lawson E,Crimson Rosella,80,2,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,E,Lawson E,Silver-eye,10,2,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,E,Lawson E,Eastern Whipbird,120,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,E,Lawson E,White-naped Honeyeater,50,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,E,Lawson E,Brown-headed Honeyeater,50,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,E,Lawson E,Eastern Spinebill,10,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,E,Lawson E,Eastern Spinebill,10,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,E,Lawson E,Eastern Spinebill,80,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Lawson,E,Lawson E,Australian Raven,150,1,,17/08/2017,Simon,August,2017,900,950,Clear,Calm,21.3
Hazelbrook,E,Hazelbrook E,Brown Thornbill,10,2,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,E,Hazelbrook E,Eastern Yellow Robin,20,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,E,Hazelbrook E,White-throated Treecreeper,60,2,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,E,Hazelbrook E,White-naped Honeyeater,20,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,E,Hazelbrook E,Yellow-faced Honeyeater,40,2,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,E,Hazelbrook E,Spotted Pardalote,60,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,E,Hazelbrook E,Fan-tailed Cuckoo,100,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,E,Hazelbrook E,Gray Fantail,20,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,E,Hazelbrook E,Yellow-faced Honeyeater,10,5,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,E,Hazelbrook E,Gray Fantail,10,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,E,Hazelbrook E,Scarlet Myzomela,50,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,D,Hazelbrook D,Mistletoebird,30,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,D,Hazelbrook D,Yellow-faced Honeyeater,60,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,D,Hazelbrook D,Eastern Spinebill,40,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,D,Hazelbrook D,New Holland Honeyeater,20,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,D,Hazelbrook D,White-browed Scrubwren,20,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,D,Hazelbrook D,Gray Fantail,30,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,D,Hazelbrook D,White-throated Treecreeper,50,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,D,Hazelbrook D,Striated Thornbill,20,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,D,Hazelbrook D,Yellow-faced Honeyeater,10,2,f,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,C,Hazelbrook C,Fan-tailed Cuckoo,50,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,C,Hazelbrook C,Lewin's Honeyeater,50,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,C,Hazelbrook C,White-throated Treecreeper,30,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,C,Hazelbrook C,Eastern Spinebill,20,2,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,C,Hazelbrook C,Brown Thornbill,10,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,C,Hazelbrook C,Yellow-faced Honeyeater,20,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,C,Hazelbrook C,Australian Raven,250,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,C,Hazelbrook C,Yellow-faced Honeyeater,5,2,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,C,Hazelbrook C,Australian Magpie,50,2,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,C,Hazelbrook C,Eastern Spinebill,90,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,C,Hazelbrook C,White-throated Treecreeper,90,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,C,Hazelbrook C,Eastern Spinebill,20,2,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,C,Hazelbrook C,White-naped Honeyeater,10,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,C,Hazelbrook C,Black-faced Cuckooshrike,10,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,B,Hazelbrook B,Eastern Spinebill,20,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,B,Hazelbrook B,Yellow-faced Honeyeater,20,2,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,B,Hazelbrook B,Silver-eye,20,3,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,B,Hazelbrook B,White-naped Honeyeater,10,5,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,B,Hazelbrook B,Australian Magpie,30,2,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,B,Hazelbrook B,Sulphur-crested Cockatoo,10,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,B,Hazelbrook B,Pied Currawong,50,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,B,Hazelbrook B,Rainbow Lorikeet,40,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,B,Hazelbrook B,Australian Magpie,50,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,B,Hazelbrook B,Spotted Pardalote,50,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,B,Hazelbrook B,Satin Bowerbird,30,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,B,Hazelbrook B,Gray Butcherbird,60,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,B,Hazelbrook B,Red Wattlebird,60,2,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,B,Hazelbrook B,Yellow-faced Honeyeater,30,6,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,B,Hazelbrook B,Pied Currawong,20,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,B,Hazelbrook B,Eastern Spinebill,30,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,A,Hazelbrook A,Eastern Spinebill,10,3,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,A,Hazelbrook A,Red Wattlebird,100,2,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,A,Hazelbrook A,Crimson Rosella,30,2,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,A,Hazelbrook A,Superb Fairywren,10,2,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,A,Hazelbrook A,Sulphur-crested Cockatoo,80,1,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,A,Hazelbrook A,Rainbow Lorikeet,30,2,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Hazelbrook,A,Hazelbrook A,Spotted Pardalote,50,2,,17/08/2017,Simon,August,2017,1015,1055,Clear,Calm,21.3
Woodford,E,Woodford E,Wedge-tailed Eagle,200,1,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,E,Woodford E,Yellow-faced Honeyeater,30,4,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,E,Woodford E,Silver-eye,50,2,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,E,Woodford E,Brown Thornbill,30,1,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,D,Woodford D,Yellow-faced Honeyeater,10,1,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,D,Woodford D,Striated Pardalote,80,1,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,D,Woodford D,Pilotbird,251,1,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,D,Woodford D,Australian Magpie,100,1,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,D,Woodford D,Pied Currawong,100,1,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,D,Woodford D,Yellow-faced Honeyeater,80,2,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,C,Woodford C,Pied Currawong,250,1,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,C,Woodford C,Australian Raven,1,,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,C,Woodford C,Eastern Spinebill,50,1,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,C,Woodford C,White-throated Treecreeper,50,1,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,C,Woodford C,Pied Currawong,100,1,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,C,Woodford C,Spotted Pardalote,50,1,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,C,Woodford C,Australian Magpie,100,1,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,B,Woodford B,Pied Currawong,60,2,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,B,Woodford B,Australian Magpie,50,1,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,B,Woodford B,Spotted Pardalote,50,1,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,B,Woodford B,Eastern Spinebill,50,1,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,B,Woodford B,White-throated Treecreeper,100,1,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,A,Woodford A,Yellow-faced Honeyeater,10,1,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,A,Woodford A,Yellow-faced Honeyeater,80,3,,17/08/2017,Simon,August,2017,1110,1147,Clear,Very windy,21.3
Woodford,A,Woodford A,Satin Bowerbird,10,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,A,Woodford A,Pied Currawong,200,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,A,Woodford A,Red Wattlebird,50,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,A,Woodford A,Red Wattlebird,50,2,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,A,Woodford A,Red Wattlebird,80,2,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,B,Woodford B,Red Wattlebird,20,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,B,Woodford B,Eastern Spinebill,20,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,B,Woodford B,Pied Currawong,150,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,B,Woodford B,Satin Bowerbird,50,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,B,Woodford B,Australian Magpie,100,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,B,Woodford B,Pied Currawong,10,3,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,B,Woodford B,Laughing Kookaburra,80,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,B,Woodford B,Red Wattlebird,30,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,C,Woodford C,Yellow-faced Honeyeater,30,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,C,Woodford C,Gray Fantail,10,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,C,Woodford C,Laughing Kookaburra,100,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,C,Woodford C,Red Wattlebird,50,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,C,Woodford C,Spotted Pardalote,50,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,C,Woodford C,Red Wattlebird,70,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,C,Woodford C,Red Wattlebird,80,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,D,Woodford D,Gray Shrikethrush,50,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,D,Woodford D,White-throated Treecreeper,80,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,D,Woodford D,Red Wattlebird,100,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,D,Woodford D,Fan-tailed Cuckoo,30,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,D,Woodford D,Red Wattlebird,40,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,D,Woodford D,Satin Bowerbird,80,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,D,Woodford D,Pied Currawong,200,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,D,Woodford D,Welcome Swallow,50,2,f,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,D,Woodford D,Crescent Honeyeater,10,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,D,Woodford D,Pilotbird,20,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,D,Woodford D,Eastern Spinebill,10,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,E,Woodford E,Red Wattlebird,20,2,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
Woodford,E,Woodford E,White-throated Treecreeper,30,1,,22/08/2017,Mark,August,2017,701,748,Clear,Calm,9
